Total gates, 121580
,9,25,49,100,200,300,500,1000,2000,3000
4,86124,109601,106616,14820,106812,15327,8846,67284,11041,101168
9,,96169,72602,50194,71610,50701,29636,94860,27619,70260
25,,,94791,26539,96373,27046,5141,77441,6866,89621
49,,,,4716,119488,3921,22080,54214,24329,115628
100,,,,,4270,120463,100182,65980,97933,7628
200,,,,,,3475,20390,56306,22593,113708
300,,,,,,,99675,66487,97426,6657
500,,,,,,,,45550,118907,27396
1000,,,,,,,,,43339,48752
2000,,,,,,,,,,29645

Total gates, 121580
,9,25,49,100,200,300,500,1000,2000,3000
4,70.8373087679,90.1472281625,87.6920546142,87.8104951472,87.8532653397,87.3934857707,92.7241322586,55.341339036,90.9187366343,83.2110544497
9,,79.0993584471,59.7154137194,58.7152492186,58.8994900477,58.2982398421,75.6242803093,78.0227011022,77.2832702747,57.789110051
25,,,77.9659483468,78.1715742721,79.2671492022,77.7545648955,95.7715084718,63.6955091298,94.3526895871,73.7136042112
49,,,,96.1210725448,98.279322257,96.7749629873,81.839118276,55.4087843395,79.9893074519,95.1044579701
100,,,,,96.4879091956,99.0812633657,82.4000658003,54.2687942096,80.5502549761,93.7259417667
200,,,,,,97.1417996381,83.2291495312,53.6881065965,81.4171738773,93.5252508636
300,,,,,,,81.9830564238,54.6858035861,80.1332455996,94.5245928607
500,,,,,,,,62.5349564073,97.8014476065,77.4666886001
1000,,,,,,,,,64.3535120908,59.9012995558
2000,,,,,,,,,,75.6168777759
