Total gates, 121580
,9,25,49,100,200,300,500,1000,2000,3000
4,60923,60770,60845,60757,60631,60901,60308,60809,60518,60651
9,,61141,60606,61018,61240,61032,60763,60528,60275,60934
25,,,60741,60965,60955,60965,60616,60367,60788,60471
49,,,,60646,60630,60318,60867,60722,61019,60678
100,,,,,60878,61064,60799,60744,60473,60870
200,,,,,,60998,60703,60504,60685,60762
300,,,,,,,60883,60770,60895,60984
500,,,,,,,,60813,60760,60783
1000,,,,,,,,,61005,60972
2000,,,,,,,,,,60513

Total gates, 121580
,9,25,49,100,200,300,500,1000,2000,3000
4,50.1093929923,50.016450074,50.0452377036,50.0271426221,50.1307780885,50.0912979108,50.396446784,50.0156275703,50.2237210067,50.1143280145
9,,50.2886987991,50.151340681,50.1875308439,50.3701266656,50.1990458957,50.0222075999,50.2154959697,50.4235894062,50.118440533
25,,,50.0403026814,50.1439381477,50.1357131107,50.1439381477,50.143115644,50.3479190656,50.0016450074,50.2623786807
49,,,,50.118440533,50.1316005922,50.388221747,50.063332785,50.0559302517,50.1883533476,50.0921204145
100,,,,,50.0723803257,50.2253660141,50.0074025333,50.0378351703,50.2607336733,50.0658002961
200,,,,,,50.1710807699,50.071557822,50.2352360586,50.0863628886,50.0230301036
300,,,,,,,50.0764928442,50.016450074,50.0863628886,50.159565718
500,,,,,,,,50.0189175851,50.024675111,50.0057575259
1000,,,,,,,,,50.1768382958,50.1496956736
2000,,,,,,,,,,50.2278335253
