Total gates, 185777
,9,25,49,100,200,300,500,1000,2000,3000
4,31199,54403,13870,185777,1767,9198,3342,182069,4003,4412
9,,117423,161230,31199,154009,159234,153236,33861,153597,151614
25,,,123988,54403,131723,125466,131744,55349,129857,129998
49,,,,13870,172146,179807,172089,13784,173804,171873
100,,,,,1767,9198,3342,182069,4003,4412
200,,,,,,177006,184058,3331,182745,182064
300,,,,,,,177149,8486,179128,177169
500,,,,,,,,2726,182732,182743
1000,,,,,,,,,1881,1462
2000,,,,,,,,,,183254

Total gates, 185777
,9,25,49,100,200,300,500,1000,2000,3000
4,83.2062095954,70.7159659161,92.5340596522,100.0,99.0488596543,95.0489027167,98.2010690236,98.0040586294,97.8452660986,97.6251096745
9,,63.2064249073,86.7868465956,83.2062095954,82.8999284088,85.7124401837,82.48383815,81.7733088595,82.6781571454,81.6107483704
25,,,66.740231568,70.7159659161,70.9038255543,67.5358090614,70.9151294294,70.2067532579,69.8993955118,69.9752929588
49,,,,92.5340596522,92.6627085161,96.7864697998,92.6320265695,92.580351712,93.5551763674,92.5157581401
100,,,,,99.0488596543,95.0489027167,98.2010690236,98.0040586294,97.8452660986,97.6251096745
200,,,,,,95.2787481766,99.0746970831,98.206990101,98.3679357509,98.0013672306
300,,,,,,,95.355722183,95.4321579098,96.420977839,95.3664877784
500,,,,,,,,98.5326493592,98.360938114,98.3668591914
1000,,,,,,,,,98.987495761,99.2130349828
2000,,,,,,,,,,98.6419201516
