Total gates, 220587
,9,25,49,100,200,300,500,1000,2000,3000
4,62825,93110,64935,134535,132519,132039,130229,90070,90235,130352
9,,167702,97471,134549,133709,42781,45369,175452,179973,40614
25,,,84314,174266,177952,14542,13126,205913,202814,17773
49,,,,48529,50069,131765,131439,89032,84453,136134
100,,,,,212759,47219,45947,174890,175001,45586
200,,,,,,44601,42505,177908,174323,46264
300,,,,,,,215809,4034,5441,215146
500,,,,,,,,3826,7129,213458
1000,,,,,,,,,214750,5837
2000,,,,,,,,,,0

Total gates, 220587
,9,25,49,100,200,300,500,1000,2000,3000
4,71.5191738407,57.7898969568,70.5626351508,60.9895415414,60.0756164235,59.8580152049,59.0374772765,59.1680380077,59.0932375888,59.0932375888
9,,76.0253324085,55.8128992189,60.9958882436,60.6150861111,80.6058380594,79.4326048226,79.5386854166,81.588216894,81.588216894
25,,,61.777439287,79.0010290724,80.6720250967,93.4075897492,94.0495133439,93.3477494141,91.9428615467,91.9428615467
49,,,,78.000063467,77.3019262241,59.733801176,59.5860136817,59.6386006428,61.7144256008,61.7144256008
100,,,,,96.4512867939,78.5939334594,79.1705766886,79.2839106566,79.3342309384,79.3342309384
200,,,,,,79.7807667723,80.73095876,80.6520783183,79.0268692171,79.0268692171
300,,,,,,,97.8339612035,98.1712430923,97.5333995204,97.5333995204
500,,,,,,,,98.2655369537,96.7681685684,96.7681685684
1000,,,,,,,,,97.3538785151,97.3538785151
2000,,,,,,,,,,100.0
