Total gates, 220587
,9,25,49,100,200,300,500,1000,2000,3000
4,110226,110225,110492,109511,110564,110224,110524,110472,109685,110650
9,,110830,110527,110588,110149,109907,110813,110807,110094,110077
25,,,109834,110521,109788,110118,110582,110510,110763,110252
49,,,,110052,110689,110333,110205,110615,109828,110181
100,,,,,110078,110440,110436,110548,110801,110574
200,,,,,,110527,109901,110339,110032,110207
300,,,,,,,110707,110209,110052,110395
500,,,,,,,,110915,110762,110281
1000,,,,,,,,,110442,110111
2000,,,,,,,,,,110200

Total gates, 220587
,9,25,49,100,200,300,500,1000,2000,3000
4,50.0306001714,50.0310535072,50.0899871706,50.3547353199,50.1226273534,50.0315068431,50.1044939185,50.0809204532,50.2758548781,50.1616142384
9,,50.2432146953,50.1058539261,50.1335074143,50.0655070335,50.1752143145,50.2355079855,50.2327879703,50.0904405065,50.0981472163
25,,,50.2083078332,50.1031339109,50.2291612833,50.0795604455,50.1307873991,50.0981472163,50.2128411919,50.0188134387
49,,,,50.1094806131,50.1792943374,50.0179067669,50.0401202247,50.1457474829,50.2110278484,50.0510002856
100,,,,,50.0976938804,50.0664137053,50.0646003618,50.1153739794,50.230067955,50.1271607121
200,,,,,,50.1058539261,50.1779343298,50.0206267822,50.1185473305,50.0392135529
300,,,,,,,50.1874543831,50.0383068812,50.1094806131,50.046013591
500,,,,,,,,50.2817482445,50.212387856,50.0056666984
1000,,,,,,,,,50.067320377,50.0827337966
2000,,,,,,,,,,50.042386904
