Total gates, 694082
,9,25,49,100,200,300,500,1000,2000,3000
4,574394,271370,51193,23917,321961,382970,314564,311358,381109,311214
9,,189476,141599,132061,402741,293560,397474,399526,298127,395976
25,,,393959,408555,115281,571250,121246,122190,570097,124152
49,,,,659692,410702,276463,417157,417929,275334,419681
100,,,,,388654,295487,395815,398485,296676,398977
200,,,,,,28565,677885,678045,14762,676497
300,,,,,,,19052,14376,678361,14830
500,,,,,,,,679596,12199,680622
1000,,,,,,,,,7191,685056
2000,,,,,,,,,,7381

Total gates, 694082
,9,25,49,100,200,300,500,1000,2000,3000
4,82.7559279739,60.9023141358,92.6243585052,96.5541535438,53.6134059088,55.1764777072,54.6791301316,55.1410352091,54.908353768,55.1617820373
9,,72.7012082146,79.5990963604,80.9732855772,58.0249884019,57.7052855426,57.2661443461,57.5617866477,57.0472941237,57.0503197029
25,,,56.7597200331,58.8626415899,83.3908673615,82.3029555586,82.531458819,82.3954518342,82.1368368579,82.1127763002
49,,,,95.045254019,59.1719710351,60.168539164,60.1019764235,60.2132024746,60.3312000599,60.4656222175
100,,,,,55.9954011198,57.4276526405,57.0271235963,57.4118043689,57.2563472327,57.4826893652
200,,,,,,95.8844920341,97.6664140548,97.6894660861,97.8731619607,97.4664376832
300,,,,,,,97.255079371,97.9287749862,97.734993848,97.8633648474
500,,,,,,,,97.9129267147,98.2424266873,98.0607478655
1000,,,,,,,,,98.9639552675,98.6995772834
2000,,,,,,,,,,98.9365809803
