Total gates, 808199
,9,25,49,100,200,300,500,1000,2000,3000
4,495293,118865,408841,804134,449694,265417,522479,269503,533920,275570
9,,419057,697149,497350,730850,556225,235845,566379,237692,571478
25,,,491803,121484,446886,607479,213915,609711,200026,605236
49,,,,410406,756826,662719,125085,666945,135238,674078
100,,,,,450871,266806,520980,270396,532421,276695
200,,,,,,623922,164854,627724,176295,634023
300,,,,,,,28877,791685,18478,788890
500,,,,,,,,34417,781190,24570
1000,,,,,,,,,11186,793644
2000,,,,,,,,,,15357

Total gates, 808199
,9,25,49,100,200,300,500,1000,2000,3000
4,61.2835452655,85.29260739,50.5866748165,99.4970298157,55.6414942359,67.159449591,64.6473207712,66.6538810367,66.0629374696,65.9031995833
9,,51.8507199341,86.2595722093,61.5380617892,90.429461061,68.8227775585,70.8184494165,70.0791512981,70.5899165923,70.7100602698
25,,,60.8517209252,84.9685535369,55.2940550533,75.1645324976,73.5318900419,75.4407021043,75.250402438,74.8870018399
49,,,,50.7803152441,93.6435209645,81.9994828006,84.5229949555,82.5223738213,83.2667449477,83.404953483
100,,,,,55.7871266854,66.9875859782,64.4618466492,66.5433884476,65.8774633475,65.7640011928
200,,,,,,77.199056173,79.6023009185,77.669484867,78.1866842201,78.4488721218
300,,,,,,,96.4269938468,97.9566913594,97.7136819026,97.6108606915
500,,,,,,,,95.7415191061,96.658125041,96.9599071516
1000,,,,,,,,,98.6159349368,98.1990821567
2000,,,,,,,,,,98.0998491708
