Total gates, 42471
,9,25,49,100,200,300,500,1000,2000,3000
4,35460,3898,2879,1677,42471,1887,42471,279,279,42192
9,,3911,4734,5448,35460,5172,35460,6784,6784,35687
25,,,41364,39852,3898,40296,3898,38800,38800,3671
49,,,,40823,2879,41267,2879,39819,39819,2652
100,,,,,1677,42027,1677,41021,41021,1450
200,,,,,,1887,42471,279,279,42192
300,,,,,,,1887,40811,40811,1660
500,,,,,,,,279,279,42192
1000,,,,,,,,,42471,0
2000,,,,,,,,,,0

Total gates, 42471
,9,25,49,100,200,300,500,1000,2000,3000
4,83.4922653104,90.8219726402,93.2212568576,96.0514233242,100.0,95.5569682842,100.0,99.3430811613,99.3430811613,99.3430811613
9,,90.7913635186,88.8535706718,87.1724235361,83.4922653104,87.8222787314,83.4922653104,84.0267476631,84.0267476631,84.0267476631
25,,,97.3935155753,93.833439288,90.8219726402,94.8788585152,90.8219726402,91.3564549928,91.3564549928,91.3564549928
49,,,,96.1197052106,93.2212568576,97.1651244379,93.2212568576,93.7557392103,93.7557392103,93.7557392103
100,,,,,96.0514233242,98.9545807728,96.0514233242,96.5859056768,96.5859056768,96.5859056768
200,,,,,,95.5569682842,100.0,99.3430811613,99.3430811613,99.3430811613
300,,,,,,,95.5569682842,96.0914506369,96.0914506369,96.0914506369
500,,,,,,,,99.3430811613,99.3430811613,99.3430811613
1000,,,,,,,,,100.0,100.0
2000,,,,,,,,,,100.0
