Total gates, 42471
,9,25,49,100,200,300,500,1000,2000,3000
4,21299,21200,21323,21169,21145,21215,21464,21291,21173,21232
9,,21264,21395,21101,21149,21179,21442,21265,21259,21230
25,,,21278,21210,21166,21160,21173,21144,21118,21185
49,,,,21373,21229,21093,21262,21099,21111,21180
100,,,,,21401,21091,21288,21241,21183,21382
200,,,,,,21209,21002,21323,21357,21234
300,,,,,,,21356,21279,21197,21304
500,,,,,,,,21398,21218,21217
1000,,,,,,,,,21419,21330
2000,,,,,,,,,,21100

Total gates, 42471
,9,25,49,100,200,300,500,1000,2000,3000
4,50.1495137859,50.0835864472,50.2060229333,50.1565774293,50.2130865767,50.0482682301,50.5380141744,50.1306774034,50.1471592381,50.0082409173
9,,50.0671046126,50.3755503756,50.3166866803,50.2036683855,50.1330319512,50.4862141226,50.0694591604,50.0553318735,50.012950013
25,,,50.1000682819,50.0600409691,50.1636410727,50.1777683596,50.1471592381,50.2154411245,50.2766593676,50.1189046644
49,,,,50.3237503238,50.0153045608,50.3355230628,50.0623955169,50.3213957759,50.2931412022,50.1306774034
100,,,,,50.3896776624,50.3402321584,50.12361376,50.012950013,50.12361376,50.344941254
200,,,,,,50.0623955169,50.5497869134,50.2060229333,50.2860775588,50.0035318217
300,,,,,,,50.283723011,50.1024228297,50.0906500907,50.1612865249
500,,,,,,,,50.382614019,50.0412045867,50.0435591345
1000,,,,,,,,,50.432059523,50.222504768
2000,,,,,,,,,,50.3190412281
