Total gates, 289812
,9,25,49,100,200,300,500,1000,2000,3000
4,250740,249217,265844,264660,267304,266259,29355,261634,22334,268290
9,,214909,252190,244666,245262,243603,49363,240922,46318,245006
25,,,241933,248743,246477,247880,40084,249857,40583,249009
49,,,,279892,281502,279333,13143,276838,9488,281826
100,,,,,284002,283389,7775,280796,6114,283284
200,,,,,,283891,9145,281182,6482,283010
300,,,,,,,8234,283045,3577,284855
500,,,,,,,,3695,282321,8169
1000,,,,,,,,,6430,282452
2000,,,,,,,,,,2754

Total gates, 289812
,9,25,49,100,200,300,500,1000,2000,3000
4,86.5181565981,85.9926435068,91.7298110499,91.3212703408,92.2335859109,91.8730073289,89.8710198335,90.2771451838,92.2936248327,92.5738064676
9,,74.1546243772,87.0184809463,84.422315156,84.6279657157,84.0555256511,82.967233931,83.1304431839,84.0179150622,84.5396325894
25,,,83.4792900225,85.8290892027,85.0472030144,85.5313099527,86.1689647082,86.2134763226,85.9967841221,85.9208728417
49,,,,96.5770913558,97.1326239079,96.3842076933,95.4649910977,95.5233047631,96.7261535064,97.2444205209
100,,,,,97.9952520945,97.7837356631,97.3172263398,96.889017708,97.890356507,97.7475052793
200,,,,,,97.956951403,96.8445060936,97.0222075,97.7633776379,97.65296123
300,,,,,,,97.1588478048,97.6650380247,98.7657515907,98.2895808317
500,,,,,,,,98.7250355403,97.4152209018,97.1812761376
1000,,,,,,,,,97.7813203042,97.4604226188
2000,,,,,,,,,,99.0497287897
