Total gates, 289812
,9,25,49,100,200,300,500,1000,2000,3000
4,144092,144927,145030,145381,144685,144584,145392,144535,144549,145399
9,,127317,129922,122433,178191,183718,106446,183885,182793,108295
25,,,161119,168910,109436,103517,186179,103544,104594,183742
49,,,,165379,114525,109502,180194,109201,110297,178441
100,,,,,99892,92127,197293,91750,93380,194534
200,,,,,,223119,67085,223700,221288,70948
300,,,,,,,54148,236491,234025,58843
500,,,,,,,,53557,56449,230329
1000,,,,,,,,,234524,58220
2000,,,,,,,,,,60740

Total gates, 289812
,9,25,49,100,200,300,500,1000,2000,3000
4,50.2808717375,50.0072460768,50.0427863581,50.1638993554,50.0762563317,50.1111065104,50.1676949195,50.1280140229,50.123183305,50.1701102784
9,,56.0691068693,55.1702482989,57.7543372945,61.4850316757,63.3921300705,63.2706720219,63.4497536334,63.0729576415,62.6326722151
25,,,55.5943163154,58.282610796,62.2389687108,64.2813272052,64.2413012574,64.2720108208,63.9097069825,63.4004113011
49,,,,57.0642347453,60.4830027742,62.2161953266,62.1761693788,62.3200557603,61.9418795633,61.5712944944
100,,,,,65.5321380757,68.2114612231,68.0762011235,68.3415455537,67.779111976,67.1242046568
200,,,,,,76.9874953418,76.8522352422,77.1879701324,76.355706458,75.5193021683
300,,,,,,,81.3161635819,81.601520986,80.7506245428,79.6961478476
500,,,,,,,,81.5200888852,80.522200599,79.4753150318
1000,,,,,,,,,80.9228051288,79.9111147917
2000,,,,,,,,,,79.0415855796
